match_id,team,xg_for,xg_against
266620,Granada,0.375,3.209
266056,Eibar,0.542,2.334
266056,Barcelona,2.334,0.542
267327,Barcelona,3.458,1.2
267327,Real Betis,1.2,3.458
266166,Atlético Madrid,0.71,1.729
266166,Barcelona,1.729,0.71
266160,Levante UD,0.846,1.081
266160,Barcelona,1.081,0.846
265839,Barcelona,2.057,1.497
265839,Sevilla,1.497,2.057
266424,Real Madrid,1.343,2.479
266424,Barcelona,2.479,1.343
266467,Celta Vigo,2.108,1.942
266467,Barcelona,1.942,2.108
267273,Las Palmas,1.352,2.664
267273,Barcelona,2.664,1.352
266490,Barcelona,3.53,0.721
266490,Levante UD,0.721,3.53
266254,Barcelona,4.176,1.34
266254,Celta Vigo,1.34,4.176
266557,Barcelona,2.262,0.676
266557,Valencia,0.676,2.262
