match_id,team,xg_for,xg_against
3825795,Atlético Madrid,2.181,0.87
3825795,Real Sociedad,0.87,2.181
3825793,Valencia,1.226,1.539
3825793,Athletic Club,1.539,1.226
3825792,RC Deportivo La Coruña,1.052,1.438
3825792,Granada,1.438,1.052
3825794,Villarreal,1.067,0.694
3825794,Levante UD,0.694,1.067
3825788,Getafe,0.667,1.035
3825788,Celta Vigo,1.035,0.667
3825791,Real Betis,2.159,0.993
3825791,Rayo Vallecano,0.993,2.159
3825790,Sporting Gijón,2.165,1.109
3825790,Espanyol,1.109,2.165
3825787,Real Madrid,0.804,0.748
3825787,Atlético Madrid,0.748,0.804
3825789,Real Sociedad,0.875,1.263
3825789,Málaga,1.263,0.875
3825786,Eibar,0.31,0.715
3825786,Las Palmas,0.715,0.31
3825781,Rayo Vallecano,1.737,3.844
3825781,Sevilla,3.844,1.737
3825785,Málaga,1.565,1.598
3825785,Real Madrid,1.598,1.565
3825783,Athletic Club,0.799,0.633
3825783,Real Sociedad,0.633,0.799
3825780,Espanyol,2.462,0.943
3825780,RC Deportivo La Coruña,0.943,2.462
3825779,Celta Vigo,2.266,1.359
3825779,Eibar,1.359,2.266
3825773,Eibar,3.259,0.65
3825773,Levante UD,0.65,3.259
3825776,Sevilla,1.555,0.575
3825776,Las Palmas,0.575,1.555
3825775,Real Sociedad,2.41,1.21
3825775,Granada,1.21,2.41
3825769,Villarreal,0.795,0.418
3825769,Málaga,0.418,0.795
3825770,Real Madrid,1.869,1.681
3825770,Athletic Club,1.681,1.869
3825768,Sporting Gijón,1.725,1.512
3825768,Rayo Vallecano,1.512,1.725
3825736,Valencia,0.97,1.695
3825736,Rayo Vallecano,1.695,0.97
3825731,Las Palmas,0.35,1.35
3825731,Málaga,1.35,0.35
3825685,Sporting Gijón,3.01,0.541
3825685,Las Palmas,0.541,3.01
3825678,Eibar,0.335,2.464
3825678,Real Madrid,2.464,0.335
3825643,Real Madrid,2.513,0.923
3825643,Las Palmas,0.923,2.513
3825642,RC Deportivo La Coruña,0.679,1.372
3825642,Atlético Madrid,1.372,0.679
3825638,Atlético Madrid,1.991,0.866
3825638,Valencia,0.866,1.991
3825614,Granada,0.614,1.004
3825614,RC Deportivo La Coruña,1.004,0.614
3825612,Getafe,1.128,0.502
3825612,Levante UD,0.502,1.128
3825607,Villarreal,0.669,0.605
3825607,Atlético Madrid,0.605,0.669
3825595,Villarreal,1.554,0.983
3825595,Athletic Club,0.983,1.554
3825579,Sevilla,1.619,1.09
3825579,Atlético Madrid,1.09,1.619
3825572,Real Madrid,2.095,1.094
3825572,Real Betis,1.094,2.095
3825774,Getafe,0.436,0.936
3825774,Atlético Madrid,0.936,0.436
3825772,Valencia,1.309,3.528
3825772,Espanyol,3.528,1.309
3825771,RC Deportivo La Coruña,3.141,0.338
3825771,Real Betis,0.338,3.141
3825767,Espanyol,0.316,1.656
3825767,Real Sociedad,1.656,0.316
3825706,Celta Vigo,0.448,1.176
3825706,Athletic Club,1.176,0.448
3825712,Getafe,0.957,0.303
3825712,RC Deportivo La Coruña,0.303,0.957
3825708,Levante UD,0.324,1.571
3825708,Málaga,1.571,0.324
3825707,Las Palmas,1.431,0.761
3825707,Granada,0.761,1.431
3825705,Eibar,1.122,0.472
3825705,Sporting Gijón,0.472,1.122
3825711,Rayo Vallecano,0.517,2.107
3825711,Atlético Madrid,2.107,0.517
3825703,Athletic Club,2.112,0.319
3825703,Levante UD,0.319,2.112
3825700,Real Madrid,5.143,0.643
3825700,Rayo Vallecano,0.643,5.143
3825701,Málaga,1.117,0.585
3825701,Atlético Madrid,0.585,1.117
3825702,Real Sociedad,1.153,1.0
3825702,Villarreal,1.0,1.153
3825704,Granada,0.334,2.14
3825704,Celta Vigo,2.14,0.334
3825891,Espanyol,1.531,1.169
3825891,Las Palmas,1.169,1.531
3825699,Real Betis,0.33,1.095
3825699,Sevilla,1.095,0.33
3825697,Valencia,1.305,0.508
3825697,Getafe,0.508,1.305
3825698,RC Deportivo La Coruña,1.78,0.662
3825698,Eibar,0.662,1.78
3825694,Eibar,2.615,0.386
3825694,Valencia,0.386,2.615
3825693,Atlético Madrid,0.397,1.317
3825693,Athletic Club,1.317,0.397
3825696,Rayo Vallecano,1.009,1.054
3825696,Málaga,1.054,1.009
3825695,Villarreal,0.938,1.488
3825695,Real Madrid,1.488,0.938
3825689,Celta Vigo,1.191,0.223
3825689,Espanyol,0.223,1.191
3825690,Las Palmas,1.226,0.458
3825690,Real Betis,0.458,1.226
3825692,Sevilla,2.013,0.102
3825692,Sporting Gijón,0.102,2.013
3825691,Levante UD,0.428,0.764
3825691,Granada,0.764,0.428
3825688,Getafe,0.46,1.594
3825688,Real Sociedad,1.594,0.46
3825687,Espanyol,0.94,0.99
3825687,Levante UD,0.99,0.94
3825683,Real Sociedad,2.112,0.688
3825683,Eibar,0.688,2.112
3825686,Athletic Club,0.649,0.564
3825686,Málaga,0.564,0.649
3825684,Villarreal,1.536,0.211
3825684,Rayo Vallecano,0.211,1.536
3825681,Real Madrid,1.383,0.29
3825681,Getafe,0.29,1.383
3825682,Granada,0.879,1.348
3825682,Atlético Madrid,1.348,0.879
3825680,RC Deportivo La Coruña,0.777,1.128
3825680,Sevilla,1.128,0.777
3825677,Sevilla,1.543,0.0
3825677,Valencia,0.0,1.543
3825675,Rayo Vallecano,1.607,2.26
3825675,Athletic Club,2.26,1.607
3825676,Getafe,1.48,0.433
